dpca_dim,Z1,Z2,psnr,method,seed
4, 3, 1, 18.74, NDPCA (ours), 0
4, 3, 1, 18.33, NDPCA (ours), 1
8, 6, 2, 19.97, NDPCA (ours), 0
8, 6, 2, 19.53, NDPCA (ours), 1
4, 0, 0, 15.51, DAE, 0
4, 0, 0, 15.84, DAE, 1
8, 0, 0, 17.51, DAE, 0
8, 0, 0, 16.84, DAE, 1
4, 0, 0, 20.51, JAE, 0
4, 0, 0, 20.84, JAE, 1
8, 0, 0, 21.51, JAE, 0
8, 0, 0, 21.84, JAE, 1
